id,name,price,stock,link,category
1086,SparkFun Qwiic Motor Driver,$23.78,In stock,https://www.sparkfun.com/sparkfun-qwiic-motor-driver.html,Robotics
1087,Wind Sensor Mounting Arm,$5.95,In stock,https://www.sparkfun.com/wind-sensor-mounting-arm.html,Robotics
1088,Servo - Generic (Sub-Micro Size),$12.95,In stock,https://www.sparkfun.com/servo-generic-sub-micro-size.html,Robotics
1089,Mates Stand,$20.95,In stock,https://www.sparkfun.com/mates-stand.html,Robotics
1090,"Tube - Aluminum (1""OD x 2.0""L x 0.82""ID)",$1.29,In stock,https://www.sparkfun.com/tube-aluminum-1-od-x-2-0-l-x-0-82-id.html,Robotics
1091,"Hex Standoff Threaded - #4-40, Aluminum, 2.375in. (60.33mm)",$1.95,In stock,https://www.sparkfun.com/hex-standoff-threaded-4-40-aluminum-2-375in-60-33mm.html,Robotics
1092,Metal Mast,$7.95,In stock,https://www.sparkfun.com/metal-mast.html,Robotics
1093,"Hobby Motor with Encoder - Plastic Gear (Pair, Red)",$28.50,In stock,https://www.sparkfun.com/hobby-motor-with-encoder-plastic-gear-pair-red.html,Robotics
1094,Servo - Hitec HS-422 (Standard Size),$22.50,Backorder,https://www.sparkfun.com/servo-hitec-hs-422-standard-size.html,Robotics
1095,Servo - Hitec HS-425BB (Standard Size),$25.95,Discontinued,https://www.sparkfun.com/servo-hitec-hs-425bb-standard-size.html,Robotics
1096,Wheel Encoder Kit,$13.95,In stock,https://www.sparkfun.com/wheel-encoder-kit.html,Robotics
1097,"MicroMod Machine Screw - M2.5x3mm, Phillips Head (5 Pack)",$0.30,In stock,https://www.sparkfun.com/micromod-machine-screw-m2-5x3mm-phillips-head-5-pack.html,Robotics
1098,Micro Gearmotor - 460 RPM (6-12V),$23.50,In stock,https://www.sparkfun.com/micro-gearmotor-460-rpm-6-12v.html,Robotics
1099,Servo - Generic Metal Gear (Micro Size),$20.95,In stock,https://www.sparkfun.com/servo-generic-metal-gear-micro-size.html,Robotics
1100,Angle Bracket - 4-40,$0.60,In stock,https://www.sparkfun.com/angle-bracket-4-40.html,Robotics
1101,Camera Mounting Hardware Kit,$1.10,In stock,https://www.sparkfun.com/camera-mounting-hardware-kit.html,Robotics
1102,N20 Motor With Encoder and Cable (Pair),$19.95,In stock,https://www.sparkfun.com/n20-motor-with-encoder-and-cable-pair.html,Robotics
1103,"Flexinol® - 0.012"" Diameter (1 foot)",$4.25,In stock,https://www.sparkfun.com/flexinol-0-012-diameter-1-foot.html,Robotics
1104,SparkFun RedBot Mainboard,$16.95,In stock,https://www.sparkfun.com/sparkfun-redbot-mainboard.html,Robotics
1105,"Tube - Stainless (1""OD x 8.0""L x 0.88""ID)",$8.19,In stock,https://www.sparkfun.com/tube-stainless-1-od-x-8-0-l-x-0-88-id.html,Robotics
1106,"Servo - Generic, 180° Rotation (Sub-Micro Size)",$12.95,In stock,https://www.sparkfun.com/servo-generic-180-rotation-sub-micro-size.html,Robotics
1107,Planetary Gearmotor - 140RPM,$6.75,In stock,https://www.sparkfun.com/planetary-gearmotor-140rpm.html,Robotics
1108,Micro Gearmotor - 900 RPM (6-12V),$23.50,In stock,https://www.sparkfun.com/micro-gearmotor-900-rpm-6-12v.html,Robotics
1109,Shadow Chassis,$14.95,In stock,https://www.sparkfun.com/shadow-chassis.html,Robotics
1110,"Hobby Gearmotor - 140 RPM, Male Connectors (Single)",$3.50,Backorder,https://www.sparkfun.com/hobby-gearmotor-140-rpm-male-connectors-single.html,Robotics
1111,Servo to Pigtail Cable - Shrouded,$2.25,In stock,https://www.sparkfun.com/servo-to-pigtail-cable-shrouded.html,Robotics
1112,Cable Clamps,$5.95,In stock,https://www.sparkfun.com/cable-clamps.html,Robotics
1113,Micro Gearmotor - Enclosure,$2.25,In stock,https://www.sparkfun.com/micro-gearmotor-enclosure.html,Robotics
1114,SparkFun Full-Bridge Motor Driver Breakout - L298N,$4.50,In stock,https://www.sparkfun.com/sparkfun-full-bridge-motor-driver-breakout-l298n.html,Robotics
1115,Micro Gripper Kit A - Straight Mount,$3.75,Discontinued,https://www.sparkfun.com/micro-gripper-kit-a-straight-mount.html,Robotics
1116,Phillips Machine Screw - M2.5 - 0.45x8mm,$0.15,In stock,https://www.sparkfun.com/m2-5-0-45x8mm-machine-screw-phillips-head.html,Robotics
1117,TB6612 1.2A DC/Stepper Motor Driver Breakout Board,$4.95,Discontinued,https://www.sparkfun.com/tb6612-1-2a-dc-stepper-motor-driver-breakout-board.html,Robotics
1118,"Silicone Bumpers - Large (10x16.5mm, 4 pack)",$1.10,In stock,https://www.sparkfun.com/silicone-bumpers-large-10x16-5mm-4-pack.html,Robotics
