id,name,price,stock,link,category
31,Alchitry Pt V2,$249.99,In stock,https://www.sparkfun.com/alchitry-pt-v2.html,Development Boards
32,Raspberry Pi Compute Module 5 IO Board,$31.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-io-board.html,Development Boards
33,Raspberry Pi Compute Module 5 Development Kit,$160.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-development-kit.html,Development Boards
34,Raspberry Pi Compute Module 5 Lite - 2GB RAM,$65.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-2gb-ram.html,Development Boards
35,Raspberry Pi Compute Module 5 16GB - 2GB RAM,$70.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-16gb-2gb-ram.html,Development Boards
36,Raspberry Pi Compute Module 5 32GB - 2GB RAM,$75.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-32gb-2gb-ram.html,Development Boards
37,Raspberry Pi Compute Module 5 Lite - 4GB,$80.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-4gb.html,Development Boards
38,Raspberry Pi Compute Module 5 16GB - 4GB RAM,$85.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-16gb-4gb-ram.html,Development Boards
39,Raspberry Pi Compute Module 5 32GB - 4GB RAM,$90.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-32gb-4gb-ram.html,Development Boards
40,Raspberry Pi Compute Module 5 Lite - 8GB RAM,$120.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-8gb-ram.html,Development Boards
41,Raspberry Pi Compute Module 5 16GB - 8GB RAM,$130.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-16gb-8gb-ram.html,Development Boards
42,Raspberry Pi Compute Module 32GB - 8GB RAM,$135.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-32gb-8gb-ram.html,Development Boards
43,Raspberry Pi Compute Module 5 Lite (Wireless) - 2GB RAM,$65.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-wireless-2gb-ram.html,Development Boards
44,Raspberry Pi Compute Module 5 16GB (Wireless) - 2GB RAM,$65.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-16gb-wireless-2gb-ram.html,Development Boards
45,Raspberry Pi Compute Module 5 32GB (Wireless) - 2GB RAM,$80.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-32gb-wireless-2gb-ram.html,Development Boards
46,Raspberry Pi Compute Module 5 Lite (Wireless) - 4GB,$85.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-wireless-4gb.html,Development Boards
47,Raspberry Pi Compute Module 5 16GB (Wireless) - 4GB RAM,$90.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-16gb-wireless-4gb-ram.html,Development Boards
48,Raspberry Pi Compute Module 5 32GB (Wireless) - 4GB RAM,$100.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-32gb-wireless-4gb-ram.html,Development Boards
49,Raspberry Pi Compute Module 5 Lite (Wireless) - 8GB RAM,$130.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-wireless-8gb-ram.html,Development Boards
50,Raspberry Pi Compute Module 5 16GB (Wireless) - 8GB RAM,$135.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-16gb-wireless-8gb-ram.html,Development Boards
51,Raspberry Pi Compute Module 5 32GB (Wireless) - 8GB RAM,$140.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-32gb-wireless-8gb-ram.html,Development Boards
52,Raspberry Pi Pico 2 with Headers,$6.60,In stock,https://www.sparkfun.com/raspberry-pi-pico-2-with-headers.html,Development Boards
53,Raspberry Pi Pico 2 W with Headers,$8.80,In stock,https://www.sparkfun.com/raspberry-pi-pico-2-w-with-headers.html,Development Boards
54,SparkFun Qwiic Pocket Development Board - ESP32-C6,$19.95,In stock,https://www.sparkfun.com/sparkfun-qwiic-pocket-development-board-esp32-c6.html,Development Boards
55,SparkFun Thing Plus - ESP32-C6,$22.50,In stock,https://www.sparkfun.com/sparkfun-thing-plus-esp32-c6.html,Development Boards
56,SparkFun Thing Plus - ESP32-S3,$24.95,Backorder,https://www.sparkfun.com/sparkfun-thing-plus-esp32-s3.html,Development Boards
57,SparkFun Qwiic Pro Mini - ESP32,$10.50,In stock,https://www.sparkfun.com/sparkfun-esp32-qwiic-pro-mini.html,Development Boards
58,SparkFun Pro Micro - ESP32-C3,$10.25,In stock,https://www.sparkfun.com/sparkfun-pro-micro-esp32-c3.html,Development Boards
59,SparkFun IoT Node for LoRaWAN®,$99.95,In stock,https://www.sparkfun.com/sparkfun-iot-node-lorawan.html,Development Boards
60,SparkFun Thing Plus - RP2350,$30.95,In stock,https://www.sparkfun.com/sparkfun-thing-plus-rp2350.html,Development Boards
61,SparkFun Thing Plus - RA6M5,$49.95,In stock,https://www.sparkfun.com/sparkfun-thing-plus-ra6m5.html,Development Boards
62,SparkFun RFM69 Breakout (434MHz),$14.25,In stock,https://www.sparkfun.com/sparkfun-rfm69-breakout-434mhz.html,Development Boards
63,SparkFun RFM69 Breakout (915MHz),$14.25,In stock,https://www.sparkfun.com/sparkfun-rfm69-breakout-915mhz.html,Development Boards
64,SparkFun Thing Plus - ESP32-S2 WROOM,$24.50,In stock,https://www.sparkfun.com/sparkfun-thing-plus-esp32-s2-wroom.html,Development Boards
65,SparkFun WiFi IR Blaster (ESP8266),$22.50,In stock,https://www.sparkfun.com/sparkfun-wifi-ir-blaster-esp8266.html,Development Boards
66,SparkFun ESP8266 Thing - Dev Board (with Headers),$20.25,In stock,https://www.sparkfun.com/sparkfun-esp8266-thing-dev-board-with-headers.html,Development Boards
67,SparkFun ESP8266 Thing,$19.95,In stock,https://www.sparkfun.com/sparkfun-esp8266-thing.html,Development Boards
68,SparkFun ESP8266 Thing Starter Kit,$30.95,Discontinued,https://www.sparkfun.com/sparkfun-esp8266-thing-starter-kit.html,Development Boards
69,SparkFun ESP8266 Thing - Dev Board,$19.95,In stock,https://www.sparkfun.com/sparkfun-esp8266-thing-dev-board.html,Development Boards
70,SparkFun MicroMod WiFi Function Board - ESP32,$14.95,In stock,https://www.sparkfun.com/sparkfun-micromod-wifi-function-board-esp32.html,Development Boards
71,SparkFun LoRa Thing Plus - expLoRaBLE,$54.95,In stock,https://www.sparkfun.com/sparkfun-lora-thing-plus-explorable.html,Development Boards
72,SparkFun Thing Plus - ESP32 WROOM (U.FL),$25.50,In stock,https://www.sparkfun.com/sparkfun-thing-plus-esp32-wroom-u-fl.html,Development Boards
73,SparkFun MicroMod ESP32 Processor,$19.95,In stock,https://www.sparkfun.com/sparkfun-micromod-esp32-processor.html,Development Boards
74,SparkFun MicroMod Artemis Processor,$17.50,In stock,https://www.sparkfun.com/sparkfun-micromod-artemis-processor.html,Development Boards
75,SparkFun Thing Plus - ESP32 WROOM (Micro-B),$24.95,In stock,https://www.sparkfun.com/sparkfun-thing-plus-esp32-wroom-micro-b.html,Development Boards
76,SparkFun ESP32 Thing,$30.85,In stock,https://www.sparkfun.com/sparkfun-esp32-thing.html,Development Boards
77,SparkFun SOIC to DIP Adapter - 8-Pin,$3.75,In stock,https://www.sparkfun.com/sparkfun-soic-to-dip-adapter-8-pin.html,Development Boards
78,SparkFun Audio Player Breakout - MY1690X-16S,$14.95,In stock,https://www.sparkfun.com/sparkfun-audio-player-breakout-my1690x-16s.html,Development Boards
79,SparkFun Serial MP3 Player Shield - MY1690X-16S,$15.95,In stock,https://www.sparkfun.com/sparkfun-serial-mp3-player-shield-my1690x.html,Development Boards
80,Raspberry Pi 4 Model B (1GB),$45.00,In stock,https://www.sparkfun.com/raspberry-pi-4-model-b-1gb.html,Development Boards
81,SparkFun IoT RedBoard - RP2350,$39.95,In stock,https://www.sparkfun.com/sparkfun-iot-redboard-rp2350.html,Development Boards
82,SparkFun IoT RedBoard - ESP32 MicroPython Development Board,$29.95,In stock,https://www.sparkfun.com/sparkfun-iot-redboard-esp32-micropython-development-board.html,Development Boards
83,SparkFun Experiential Robotics Platform (XRP) Controller,$52.95,In stock,https://www.sparkfun.com/sparkfun-experiential-robotics-platform-xrp-controller.html,Development Boards
84,Teensy Prop Shield LC,$8.40,Discontinued,https://www.sparkfun.com/teensy-prop-shield-lc.html,Development Boards
85,"Teensy 4.0, Lockable",$23.80,In stock,https://www.sparkfun.com/teensy-4-0-with-copy-protection.html,Development Boards
86,"Teensy 4.1, Lockable",$31.50,Backorder,https://www.sparkfun.com/teensy-4-1-with-copy-protection.html,Development Boards
87,"Teensy 4.1 without Ethernet, Lockable",$29.60,In stock,https://www.sparkfun.com/teensy-4-1-without-ethernet-with-copy-protection.html,Development Boards
88,Alchitry Au V2,$99.99,In stock,https://www.sparkfun.com/alchitry-au-v2.html,Development Boards
89,Alchitry Cu V2,$49.99,In stock,https://www.sparkfun.com/alchitry-cu-v2.html,Development Boards
90,Alchitry Br V2,$14.99,Backorder,https://www.sparkfun.com/alchitry-br-v2.html,Development Boards
91,Alchitry Br Wide V2,$14.99,In stock,https://www.sparkfun.com/alchitry-br-wide-v2.html,Development Boards
92,Alchitry Io V2,$19.99,In stock,https://www.sparkfun.com/alchitry-io-v2.html,Development Boards
93,Alchitry Ft V2,$39.99,In stock,https://www.sparkfun.com/alchitry-ft-v2.html,Development Boards
94,Alchitry Ft+ V2,$44.99,In stock,https://www.sparkfun.com/alchitry-ft-plus-v2.html,Development Boards
95,Raspberry Pi 5 - 16GB,$215.00,Out of stock,https://www.sparkfun.com/raspberry-pi-5-16gb.html,Development Boards
96,SparkFun Experiential Robotics Platform (XRP) Controller - Beta,$25.00,In stock,https://www.sparkfun.com/sparkfun-experiential-robotics-platform-xrp-controller-beta.html,Development Boards
97,Segger J-Link EDU Mini,$60.00,In stock,https://www.sparkfun.com/segger-j-link-edu-mini.html,Development Boards
98,Raspberry Pi Touch Display 2,$88.00,Out of stock,https://www.sparkfun.com/raspberry-pi-touch-display-2.html,Development Boards
99,Experiential Robotics Platform (XRP) - DIY Kit - Beta,$45.00,Out of stock,https://www.sparkfun.com/experiential-robotics-platform-xrp-diy-kit-beta.html,Development Boards
100,Raspberry Pi 5 Essential Kit - 8GB,$149.95,Out of stock,https://www.sparkfun.com/raspberry-pi-5-essential-kit-8gb.html,Development Boards
101,Raspberry Pi 5 Essential Kit - 4GB,$99.95,In stock,https://www.sparkfun.com/raspberry-pi-5-essential-kit-4gb.html,Development Boards
102,Raspberry Pi 5 Basic Kit - 8GB,$159.95,In stock,https://www.sparkfun.com/raspberry-pi-5-basic-kit-8gb.html,Development Boards
103,Raspberry Pi 5 Basic Kit - 4GB,$114.95,In stock,https://www.sparkfun.com/raspberry-pi-5-basic-kit-4gb.html,Development Boards
104,SparkFun ISP Pogo Adapter v2,$15.50,In stock,https://www.sparkfun.com/sparkfun-isp-pogo-adapter-v2.html,Development Boards
105,SparkFun Raspberry Pi Zero W Basic Kit,$53.50,In stock,https://www.sparkfun.com/sparkfun-raspberry-pi-zero-w-basic-kit-kit-23091.html,Development Boards
106,Raspberry Pi 3 B+ Starter Kit,$99.50,Discontinued,https://www.sparkfun.com/raspberry-pi-3-b-starter-kit-kit-23090.html,Development Boards
107,Experiential Robotics Platform (XRP) Kit - Beta,$60.00,In stock,https://www.sparkfun.com/experiential-robotics-platform-xrp-kit-beta.html,Development Boards
108,SparkFun GPS-RTK Dead Reckoning pHAT for Raspberry Pi,$299.95,In stock,https://www.sparkfun.com/sparkfun-gps-rtk-dead-reckoning-phat-for-raspberry-pi-gps-21305.html,Development Boards
109,W55RP20-EVB-PICO,$10.95,In stock,https://www.sparkfun.com/w55rp20-evb-pico.html,Development Boards
110,Raspberry Pi Zero 2 W (with Headers),$20.70,Out of stock,https://www.sparkfun.com/raspberry-pi-zero-2-w-with-headers.html,Development Boards
111,Raspberry Pi Pico 2,$5.75,In stock,https://www.sparkfun.com/raspberry-pi-pico-2.html,Development Boards
112,Raspberry Pi M.2 HAT+,$27.00,In stock,https://www.sparkfun.com/raspberry-pi-m-2-hat.html,Development Boards
113,SparkFun Pro Micro - RP2350,$16.95,In stock,https://www.sparkfun.com/sparkfun-pro-micro-rp2350.html,Development Boards
114,Arduino Nano ESP32 with Headers,$21.00,In stock,https://www.sparkfun.com/arduino-nano-esp32-with-headers.html,Development Boards
115,Arduino UNO R4 Minima,$20.00,In stock,https://www.sparkfun.com/arduino-uno-r4-minima.html,Development Boards
116,Teensy 4 Audio Shield (Rev D2),$14.95,Discontinued,https://www.sparkfun.com/teensy-4-audio-shield-rev-d2.html,Development Boards
117,NVIDIA Jetson AGX Orin 64GB Developer Kit,"$1,999.95",Backorder,https://www.sparkfun.com/nvidia-jetson-agx-orin-64gb-developer-kit.html,Development Boards
118,SparkFun MicroMod STM32WB5MMG Processor,$19.95,In stock,https://www.sparkfun.com/sparkfun-micromod-stm32wb5mmg-processor.html,Development Boards
119,Arduino Opta WiFi,$183.54,In stock,https://www.sparkfun.com/arduino-opta-wifi.html,Development Boards
120,Arduino Opta RS485,$152.76,Discontinued,https://www.sparkfun.com/arduino-opta-rs485.html,Development Boards
121,Arduino Opta Lite,$125.49,Discontinued,https://www.sparkfun.com/arduino-opta-lite.html,Development Boards
122,SparkFun USB-C Host Shield,$40.95,In stock,https://www.sparkfun.com/sparkfun-usb-c-host-shield.html,Development Boards
123,Raspberry Pi Pico WH,$7.70,In stock,https://www.sparkfun.com/raspberry-pi-pico-wh.html,Development Boards
124,SparkFun MicroMod STM32 Processor,$16.50,Discontinued,https://www.sparkfun.com/sparkfun-micromod-stm32-processor-dev-17713.html,Development Boards
125,"AVR®  14-Pin ATtiny Microcontroller IC - 8-Bit, 20MHz, 8KB (4K x 16) FLASH",$3.10,In stock,https://www.sparkfun.com/avrr-14-pin-attiny-microcontroller-ic-8-bit-20mhz-8kb-4k-x-16-flash.html,Development Boards
126,SparkFun ESLOV to Qwiic Bridge,$1.95,In stock,https://www.sparkfun.com/sparkfun-eslov-to-qwiic-bridge.html,Development Boards
127,Sipeed Tang Primer 25K,$36.95,Discontinued,https://www.sparkfun.com/sipeed-tang-primer-25k.html,Development Boards
128,Raspberry Pi Compute Module 4 16GB (Wireless Version) - 4GB RAM,$85.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-16gb-wireless-version-4gb-ram.html,Development Boards
129,Mates Programmer,$8.95,In stock,https://www.sparkfun.com/mates-programmer.html,Development Boards
130,NVIDIA Jetson Nano 2GB Developer Kit (without Wireless Adaptor),$54.00,Discontinued,https://www.sparkfun.com/nvidia-jetson-nano-2gb-developer-kit-without-wireless-adaptor.html,Development Boards
131,Jetson Nano 2GB,$63.50,Discontinued,https://www.sparkfun.com/jetson-nano-2gb.html,Development Boards
132,Raspberry Pi Compute Module 4 32GB (Wireless Version) - 2GB RAM,$70.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-32gb-wireless-version-2gb-ram.html,Development Boards
133,Raspberry Pi Compute Module 4 32GB (Wireless Version) - 4GB RAM,$100.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-32gb-wireless-version-4gb-ram.html,Development Boards
134,Raspberry Pi Compute Module 4 Lite (Wireless Version) - 2GB RAM,$55.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-lite-wireless-version-2gb-ram.html,Development Boards
135,Raspberry Pi Compute Module 4 8GB - 2GB RAM,$55.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-8gb-2gb-ram.html,Development Boards
136,Himax WE-I Plus EVB Endpoint AI Development Board,$69.95,Discontinued,https://www.sparkfun.com/himax-we-i-plus-evb-endpoint-ai-development-board.html,Development Boards
137,"Argon40 Fan HAT for Raspberry Pi 4, 3B, and 3B+",$11.95,Discontinued,https://www.sparkfun.com/argon40-fan-hat-for-raspberry-pi-4-3b-and-3b.html,Development Boards
138,PICAXE 8 Pin Proto Kit,$4.50,In stock,https://www.sparkfun.com/picaxe-8-pin-proto-kit.html,Development Boards
139,Cluster HAT,$24.95,Discontinued,https://www.sparkfun.com/cluster-hat.html,Development Boards
140,Raspberry Pi Zero,$11.00,In stock,https://www.sparkfun.com/raspberry-pi-zero.html,Development Boards
141,Raspberry Pi Pico W,$4.95,In stock,https://www.sparkfun.com/raspberry-pi-pico-w.html,Development Boards
142,Raspberry Pi Pico H,$5.50,In stock,https://www.sparkfun.com/raspberry-pi-pico-h.html,Development Boards
143,Raspberry Pi Pico,$4.60,In stock,https://www.sparkfun.com/raspberry-pi-pico.html,Development Boards
144,Raspberry Pi Compute Module 4 8GB (Wireless Version) - 2GB RAM,$60.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-8gb-wireless-version-2gb-ram.html,Development Boards
145,Raspberry Pi Compute Module 4 16GB - 2GB RAM,$60.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-16gb-2gb-ram.html,Development Boards
146,Raspberry Pi Compute Module 4 - Lite,$45.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-lite.html,Development Boards
147,Raspberry Pi Compute Module 4 I/O Board,$38.50,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-4-i-o-board.html,Development Boards
148,Raspberry Pi Compute Module 3+ Development Kit,$108.90,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-3-development-kit.html,Development Boards
149,Raspberry Pi Compute Module 3+ - 32GB,$40.00,Discontinued,https://www.sparkfun.com/raspberry-pi-compute-module-3-32gb.html,Development Boards
150,Raspberry Pi Compute Module 3+ - 16GB,$38.50,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-3-16gb.html,Development Boards
151,Raspberry Pi Compute Module 3+ - 8GB,$43.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-3-8gb.html,Development Boards
152,Raspberry Pi 4 Model B (8 GB),$120.00,Out of stock,https://www.sparkfun.com/raspberry-pi-4-model-b-8-gb.html,Development Boards
153,Raspberry Pi 4 Model B (4 GB),$75.00,In stock,https://www.sparkfun.com/raspberry-pi-4-model-b-4-gb.html,Development Boards
154,Raspberry Pi 4 Model B (2 GB),$60.00,Out of stock,https://www.sparkfun.com/raspberry-pi-4-model-b-2-gb.html,Development Boards
155,Raspberry Pi 3 A+,$27.50,In stock,https://www.sparkfun.com/raspberry-pi-3-a.html,Development Boards
156,Raspberry Pi 3 B+,$43.50,In stock,https://www.sparkfun.com/raspberry-pi-3-b.html,Development Boards
157,SparkFun Pro Micro - RP2040,$11.25,In stock,https://www.sparkfun.com/sparkfun-pro-micro-rp2040.html,Development Boards
158,SparkFun Thing Plus - RP2040,$19.95,In stock,https://www.sparkfun.com/sparkfun-thing-plus-rp2040.html,Development Boards
159,SparkFun MicroMod Update Tool,$5.95,In stock,https://www.sparkfun.com/sparkfun-micromod-update-tool.html,Development Boards
160,SparkFun Qwiic pHAT Extension for Raspberry Pi 400,$5.75,In stock,https://www.sparkfun.com/sparkfun-qwiic-phat-extension-for-raspberry-pi-400.html,Development Boards
161,SparkFun Raspberry Pi 4 Hardware Starter Kit - 8GB,$192.95,Discontinued,https://www.sparkfun.com/sparkfun-raspberry-pi-4-hardware-starter-kit-8gb.html,Development Boards
162,SparkFun Qwiic pHAT v2.0 for Raspberry Pi,$7.95,In stock,https://www.sparkfun.com/sparkfun-qwiic-phat-v2-0-for-raspberry-pi.html,Development Boards
163,SparkFun Serial Basic Breakout - CH340C and USB-C,$10.50,In stock,https://www.sparkfun.com/sparkfun-serial-basic-breakout-ch340c-and-usb-c.html,Development Boards
164,SparkFun Qwiic HAT for Raspberry Pi,$6.95,In stock,https://www.sparkfun.com/sparkfun-qwiic-hat-for-raspberry-pi.html,Development Boards
165,SparkFun Serial Basic Breakout - CH340G,$9.25,In stock,https://www.sparkfun.com/sparkfun-serial-basic-breakout-ch340g.html,Development Boards
166,SparkFun SSOP to DIP Adapter - 16-Pin,$4.25,In stock,https://www.sparkfun.com/sparkfun-ssop-to-dip-adapter-16-pin.html,Development Boards
167,SparkFun USB UART Serial Breakout - CY7C65213,$17.95,In stock,https://www.sparkfun.com/sparkfun-usb-uart-serial-breakout-cy7c65213.html,Development Boards
168,SparkFun FT231X Breakout,$14.95,In stock,https://www.sparkfun.com/sparkfun-ft231x-breakout.html,Development Boards
169,SparkFun USB to Serial Breakout - FT232RL,$22.95,In stock,https://www.sparkfun.com/sparkfun-usb-to-serial-breakout-ft232rl.html,Development Boards
170,Tiny AVR Programmer,$18.95,Discontinued,https://www.sparkfun.com/tiny-avr-programmer.html,Development Boards
171,SparkFun Transceiver Breakout - MAX3232,$7.26,In stock,https://www.sparkfun.com/sparkfun-transceiver-breakout-max3232.html,Development Boards
172,SparkFun Transceiver Breakout - RS-485,$12.50,In stock,https://www.sparkfun.com/sparkfun-transceiver-breakout-rs-485.html,Development Boards
173,Pocket AVR Programmer,$19.95,In stock,https://www.sparkfun.com/pocket-avr-programmer.html,Development Boards
174,SparkFun USB to RS-485 Converter,$25.95,In stock,https://www.sparkfun.com/sparkfun-usb-to-rs-485-converter.html,Development Boards
175,SparkFun SSOP to DIP Adapter - 28-Pin,$5.25,In stock,https://www.sparkfun.com/sparkfun-ssop-to-dip-adapter-28-pin.html,Development Boards
176,SparkFun SSOP to DIP Adapter - 8-Pin,$3.95,In stock,https://www.sparkfun.com/sparkfun-ssop-to-dip-adapter-8-pin.html,Development Boards
177,SparkFun SOIC to DIP Adapter - 28-Pin,$5.95,In stock,https://www.sparkfun.com/sparkfun-soic-to-dip-adapter-28-pin.html,Development Boards
178,SparkFun SOIC to DIP Adapter - 20-Pin,$4.95,In stock,https://www.sparkfun.com/sparkfun-soic-to-dip-adapter-20-pin.html,Development Boards
179,"D-Sub Serial Connector - 9-Pin, Female (PCB Mount)",$2.25,In stock,https://www.sparkfun.com/d-sub-serial-connector-9-pin-female-pcb-mount.html,Development Boards
180,SparkFun RS232 Shifter SMD (No DE9),$1.95,In stock,https://www.sparkfun.com/sparkfun-rs232-shifter-smd-no-de9.html,Development Boards
181,SparkFun Shift Register Breakout - 74HC595,$4.95,In stock,https://www.sparkfun.com/sparkfun-shift-register-breakout-74hc595.html,Development Boards
182,SparkFun Logic Level Converter - Single Supply,$18.95,In stock,https://www.sparkfun.com/sparkfun-logic-level-converter-single-supply.html,Development Boards
183,SparkFun Level Shifter - 8 Channel (TXS0108E),$5.57,In stock,https://www.sparkfun.com/sparkfun-level-shifter-8-channel-txs0108e.html,Development Boards
184,SparkFun Level Translator Breakout - PCA9306,$5.25,In stock,https://www.sparkfun.com/sparkfun-level-translator-breakout-pca9306.html,Development Boards
185,SparkFun Logic Level Converter - Bi-Directional,$3.95,In stock,https://www.sparkfun.com/sparkfun-logic-level-converter-bi-directional.html,Development Boards
186,SparkFun Voltage-Level Translator Breakout - TXB0104,$5.95,In stock,https://www.sparkfun.com/sparkfun-voltage-level-translator-breakout-txb0104.html,Development Boards
187,SparkFun Opto-isolator Breakout,$5.95,In stock,https://www.sparkfun.com/sparkfun-opto-isolator-breakout.html,Development Boards
188,SparkFun Real Time Clock Module - RV-1805 (Qwiic),$8.33,In stock,https://www.sparkfun.com/products/14558,Development Boards
189,SparkFun Real Time Clock Module - RV-8803 (Qwiic),$20.57,In stock,https://www.sparkfun.com/sparkfun-real-time-clock-module-rv-8803-qwiic.html,Development Boards
190,SparkFun Real Time Clock Module,$8.50,In stock,https://www.sparkfun.com/sparkfun-real-time-clock-module.html,Development Boards
191,SparkFun DeadOn RTC Breakout - DS3234,$27.50,In stock,https://www.sparkfun.com/sparkfun-deadon-rtc-breakout-ds3234.html,Development Boards
192,PiJuice HAT - Raspberry Pi Portable Power Platform,$73.95,Discontinued,https://www.sparkfun.com/pijuice-hat-raspberry-pi-portable-power-platform.html,Development Boards
193,SparkFun microSD Transflash Breakout,$5.95,In stock,https://www.sparkfun.com/sparkfun-microsd-transflash-breakout.html,Development Boards
194,SparkFun Qwiic GPIO,$6.75,In stock,https://www.sparkfun.com/sparkfun-qwiic-gpio.html,Development Boards
195,SparkFun Qwiic Mux Breakout - 8 Channel (TCA9548A),$6.95,Backorder,https://www.sparkfun.com/sparkfun-qwiic-mux-breakout-8-channel-tca9548a.html,Development Boards
196,SparkFun Multiplexer Breakout - 8 Channel (74HC4051),$3.50,In stock,https://www.sparkfun.com/sparkfun-multiplexer-breakout-8-channel-74hc4051.html,Development Boards
197,SparkFun 16 Output I/O Expander Breakout - SX1509,$7.50,Backorder,https://www.sparkfun.com/sparkfun-16-output-i-o-expander-breakout-sx1509.html,Development Boards
198,SparkFun Analog/Digital MUX Breakout - CD74HC4067,$6.50,In stock,https://www.sparkfun.com/sparkfun-analog-digital-mux-breakout-cd74hc4067.html,Development Boards
199,"Raspberry Pi LCD - 7"" Touchscreen",$88.30,In stock,https://www.sparkfun.com/raspberry-pi-lcd-7-touchscreen.html,Development Boards
200,OBD-II to DE9 Cable,$14.95,In stock,https://www.sparkfun.com/obd-ii-to-de9-cable.html,Development Boards
201,High Speed Optoisolator - 6N137,$1.10,Backorder,https://www.sparkfun.com/high-speed-optoisolator-6n137.html,Development Boards
202,I/O Expander - MCP23008,$2.10,In stock,https://www.sparkfun.com/i-o-expander-mcp23008.html,Development Boards
203,Schmitt Trigger - CD40106B,$1.95,In stock,https://www.sparkfun.com/schmitt-trigger-cd40106b.html,Development Boards
204,Shift Register 8-Bit - SN74HC595,$1.05,In stock,https://www.sparkfun.com/shift-register-8-bit-sn74hc595.html,Development Boards
205,Real Time Clock - DS3234,$10.95,In stock,https://www.sparkfun.com/real-time-clock-ds3234.html,Development Boards
206,16 Channel Multiplexer,$1.05,In stock,https://www.sparkfun.com/16-channel-multiplexer.html,Development Boards
207,Teensy Extended Header Kit,$1.80,In stock,https://www.sparkfun.com/teensy-extended-header-kit.html,Development Boards
208,FTDI to USB-C Cable - 5V VCC-3.3V I/O,$22.95,In stock,https://www.sparkfun.com/ftdi-to-usb-c-cable-5v-vcc-3-3v-i-o.html,Development Boards
209,SparkFun microSD Shield,$17.95,In stock,https://www.sparkfun.com/sparkfun-microsd-shield.html,Development Boards
210,SparkFun Inventor's Kit for Arduino Uno - v4.1,$129.95,In stock,https://www.sparkfun.com/sparkfun-inventor-s-kit-for-arduino-uno-v4-1.html,Development Boards
211,Kitronik Autonomous Robotics Platform for Pico,$51.95,Discontinued,https://www.sparkfun.com/kitronik-autonomous-robotics-platform-for-pico.html,Development Boards
212,Kitronik Motor Driver Board for Raspberry Pi Pico,$11.95,Discontinued,https://www.sparkfun.com/kitronik-motor-driver-board-for-raspberry-pi-pico.html,Development Boards
213,Raspberry Pi Build HAT,$29.70,In stock,https://www.sparkfun.com/raspberry-pi-build-hat.html,Development Boards
214,SparkFun Auto pHAT for Raspberry Pi,$39.95,In stock,https://www.sparkfun.com/sparkfun-auto-phat-for-raspberry-pi.html,Development Boards
215,SparkFun Servo pHAT for Raspberry Pi,$13.95,Backorder,https://www.sparkfun.com/sparkfun-servo-phat-for-raspberry-pi.html,Development Boards
216,SparkFun RP2040 mikroBUS Starter Kit,$39.95,Discontinued,https://www.sparkfun.com/sparkfun-rp2040-mikrobus-starter-kit.html,Development Boards
217,Bosch BME688 Development Kit,$54.50,Discontinued,https://www.sparkfun.com/bosch-bme688-development-kit.html,Development Boards
218,SparkFun Environmental Sensor - BME688 (Qwiic),$34.95,In stock,https://www.sparkfun.com/sparkfun-environmental-sensor-bme688-qwiic.html,Development Boards
219,Luxonis Oak-D LITE,$123.32,Discontinued,https://www.sparkfun.com/luxonis-oak-d-lite.html,Development Boards
220,Luxonis OAK-D-IoT-40,$164.44,In stock,https://www.sparkfun.com/luxonis-oak-d-iot-40.html,Development Boards
